Time;SENS2_FZ
0;0,016737
0,00096706;0,020935
0,0021851;0,023311
0,0034032;0,025386
0,0046213;0,027094
0,0055623;0,027993
0,0065034;0,028721
0,0074444;0,02919
0,0086625;0,029907
0,0098806;0,030631
0,011099;0,031324
0,012317;0,031843
0,013174;0,032354
0,014032;0,032653
0,014889;0,033218
0,016107;0,03395
0,017325;0,03427
0,018543;0,034734
0,019761;0,035149
0,020619;0,035514
0,021476;0,035831
0,022333;0,036347
0,023551;0,036798
0,024769;0,037193
0,025988;0,037388
0,027187;0,037747
0,028051;0,038153
0,028914;0,038467
0,029778;0,03865
0,030996;0,039125
0,032214;0,039645
0,033364;0,040242
0,034582;0,04066
0,035462;0,040897
0,036342;0,041348
0,037222;0,041702
0,038026;0,042185
0,038729;0,041713
0,039379;0,041903
0,040597;0,042551
0,041815;0,04303
0,042737;0,043378
0,04338;0,043488
0,044023;0,043713
0,044667;0,044138
0,045497;0,044535
0,046265;0,044921
0,046951;0,045154
0,047658;0,045421
0,0484;0,0455
0,048849;0,045794
0,049297;0,04605
0,049615;0,046275
0,049917;0,04648
0,0505;0,046714
0,051306;0,047168
0,052111;0,047474
0,05291;0,047948
0,053638;0,04829
0,054348;0,048552
0,055015;0,048869
0,055971;0,049191
0,056575;0,049537
0,057215;0,049497
0,057665;0,049837
0,05821;0,050275
0,05857;0,0504
0,059063;0,050516
0,059556;0,051079
0,060174;0,051676
0,060965;0,05215
0,061854;0,052197
0,062593;0,05253
0,063358;0,055818
0,064117;0,05648
0,065052;0,057017
0,065701;0,058605
0,066351;0,059988
0,067;0,061508
0,068192;0,063068
0,069341;0,064975
0,070507;0,065781
0,071672;0,066687
0,072498;0,067493
0,073147;0,068645
0,073796;0,069096
0,074444;0,069796
0,075573;0,070842
0,076715;0,071995
0,077838;0,073613
0,078823;0,074763
0,079686;0,076075
0,080421;0,076495
0,08091;0,076761
0,081399;0,07781
0,081889;0,079107
0,082664;0,080405
0,083349;0,081334
0,084297;0,082442
0,085071;0,083365
0,085541;0,083769
0,086146;0,084391
0,086549;0,084671
0,086944;0,085322
0,087292;0,085232
0,087599;0,086048
0,088177;0,086715
0,088755;0,087373
0,089333;0,087659
0,089844;0,088252
0,090259;0,088607
0,090622;0,088693
0,090927;0,089052
0,091193;0,089526
0,091403;0,089474
0,09158;0,089679
0,092;0,0905
0,092513;0,090157
0,093003;0,090553
0,093778;0,090172
0,094531;0,090724
0,095224;0,091537
0,095742;0,091886
0,09626;0,092179
0,096778;0,092787
0,097412;0,09428
0,098104;0,095422
0,098736;0,096134
0,099368;0,097487
0,1;0,099264
0,10056;0,10081
0,10111;0,10248
0,10167;0,10374
0,10222;0,10496
0,10278;0,10657
0,10333;0,10795
0,10378;0,10866
0,10422;0,10889
0,10461;0,10962
0,105;0,1111
0,10547;0,11198
0,10587;0,11348
0,10627;0,11506
0,10667;0,11684
0,10695;0,11796
0,10741;0,11974
0,10787;0,13244
0,10833;0,15481
0,10882;0,17606
0,10921;0,19174
0,10948;0,20832
0,10965;0,22073
0,10983;0,23303
0,11;0,24796
0,11022;0,2691
0,11042;0,29968
0,11056;0,32021
0,11068;0,33575
0,1108;0,34977
0,1109;0,36357
0,111;0,37189
0,11109;0,38306
0,11118;0,39213
0,11126;0,40117
0,11133;0,40794
0,1114;0,41398
0,11146;0,41798
0,11153;0,4253
0,1116;0,43248
0,11167;0
