Time	SENS4_FZ
0	0,0080381
0,00096706	0,010167
0,0021851	0,011312
0,0034032	0,012252
0,0046213	0,013022
0,0055623	0,013426
0,0065034	0,013906
0,0074444	0,014026
0,0086625	0,01441
0,0098806	0,014848
0,011099	0,015313
0,012317	0,015474
0,013174	0,015681
0,014032	0,015814
0,014889	0,016044
0,016107	0,01637
0,017325	0,016533
0,018543	0,016595
0,019761	0,016781
0,020619	0,01701
0,021476	0,017127
0,022333	0,017147
0,023551	0,017497
0,024769	0,017603
0,025988	0,017868
0,027187	0,017888
0,028051	0,018003
0,028914	0,018246
0,029778	0,018404
0,030996	0,018458
0,032214	0,018707
0,033364	0,018946
0,034582	0,019109
0,035462	0,019158
0,036342	0,019311
0,037222	0,019422
0,038026	0,019463
0,038729	0,019489
0,039379	0,019678
0,040597	0,019851
0,041815	0,020033
0,042737	0,020089
0,04338	0,020095
0,044023	0,020303
0,044667	0,020576
0,045497	0,020657
0,046265	0,020824
0,046951	0,020899
0,047658	0,021037
0,0484	0,02113
0,048849	0,021272
0,049297	0,021369
0,049615	0,021411
0,049917	0,021463
0,0505	0,021542
0,051306	0,021691
0,052111	0,021927
0,05291	0,022055
0,053638	0,022257
0,054348	0,022263
0,055015	0,022426
0,055971	0,022514
0,056575	0,022731
0,057215	0,022747
0,057665	0,022761
0,05821	0,022914
0,05857	0,0229
0,059063	0,023118
0,059556	0,023445
0,060174	0,023586
0,060965	0,023687
0,061854	0,023673
0,062593	0,023885
0,063358	0,026307
0,064117	0,027206
0,065052	0,027948
0,065701	0,029915
0,066351	0,030625
0,067	0,031877
0,068192	0,033047
0,069341	0,034813
0,070507	0,035676
0,071672	0,035837
0,072498	0,036681
0,073147	0,037236
0,073796	0,037447
0,074444	0,038248
0,075573	0,038509
0,076715	0,039607
0,077838	0,04029
0,078823	0,041097
0,079686	0,041719
0,080421	0,04215
0,08091	0,042332
0,081399	0,043101
0,081889	0,043992
0,082664	0,044783
0,083349	0,04535
0,084297	0,046011
0,085071	0,046776
0,085541	0,047114
0,086146	0,047783
0,086549	0,048076
0,086944	0,048333
0,087292	0,048591
0,087599	0,049196
0,088177	0,049902
0,088755	0,050143
0,089333	0,050494
0,089844	0,051225
0,090259	0,051531
0,090622	0,051678
0,090927	0,05191
0,091193	0,052045
0,091403	0,052141
0,09158	0,052184
0,092	0,052867
0,092513	0,054241
0,093003	0,059341
0,093778	0,061952
0,094531	0,063588
0,095224	0,064569
0,095742	0,065824
0,09626	0,067172
0,096778	0,067888
0,097412	0,069636
0,098104	0,070842
0,098736	0,072426
0,099368	0,073676
0,1	0,075134
0,10056	0,077292
0,10111	0,079126
0,10167	0,08071
0,10222	0,082123
0,10278	0,08479
0,10333	0,087327
0,10378	0,088754
0,10422	0,090654
0,10461	0,092263
0,105	0,094572
0,10547	0,097308
0,10587	0,099105
0,10627	0,1009
0,10667	0,10278
0,10695	0,10698
0,10741	0,11089
0,10787	0,12286
0,10833	0,14344
0,10882	0,16078
0,10921	0,1767
0,10948	0,19089
0,10965	0,20257
0,10983	0,21346
0,11	0,22734
0,11022	0,2451
0,11042	0,26799
0,11056	0,28494
0,11068	0,29742
0,1108	0,30836
0,1109	0,319
0,111	0,32511
0,11109	0,33253
0,11118	0,33896
0,11126	0,34761
0,11133	0,35286
0,1114	0,35701
0,11146	0,35923
0,11153	0,36177
0,1116	0,36962
0,11167	0
