Pilot Height	SENS4_FZ
0	0,0080381
0,29012	0,010167
0,65554	0,011312
1,021	0,012252
1,3864	0,013022
1,6687	0,013426
1,951	0,013906
2,2333	0,014026
2,5988	0,01441
2,9642	0,014848
3,3296	0,015313
3,695	0,015474
3,9522	0,015681
4,2095	0,015814
4,4667	0,016044
4,8321	0,01637
5,1975	0,016533
5,5629	0,016595
5,9284	0,016781
6,1856	0,01701
6,4428	0,017127
6,7	0,017147
7,0654	0,017497
7,4308	0,017603
7,7963	0,017868
8,1561	0,017888
8,4152	0,018003
8,6743	0,018246
8,9333	0,018404
9,2988	0,018458
9,6642	0,018707
10,009	0,018946
10,375	0,019109
10,639	0,019158
10,903	0,019311
11,167	0,019422
11,408	0,019463
11,619	0,019489
11,814	0,019678
12,179	0,019851
12,545	0,020033
12,821	0,020089
13,014	0,020095
13,207	0,020303
13,4	0,020576
13,649	0,020657
13,88	0,020824
14,085	0,020899
14,297	0,021037
14,52	0,02113
14,655	0,021272
14,789	0,021369
14,885	0,021411
14,975	0,021463
15,15	0,021542
15,392	0,021691
15,633	0,021927
15,873	0,022055
16,091	0,022257
16,304	0,022263
16,505	0,022426
16,791	0,022514
16,973	0,022731
17,165	0,022747
17,3	0,022761
17,463	0,022914
17,571	0,0229
17,719	0,023118
17,867	0,023445
18,052	0,023586
18,29	0,023687
18,556	0,023673
18,778	0,023885
19,007	0,026307
19,235	0,027206
19,516	0,027948
19,71	0,029915
19,905	0,030625
20,1	0,031877
20,458	0,033047
20,802	0,034813
21,152	0,035676
21,502	0,035837
21,75	0,036681
21,944	0,037236
22,139	0,037447
22,333	0,038248
22,672	0,038509
23,015	0,039607
23,351	0,04029
23,647	0,041097
23,906	0,041719
24,126	0,04215
24,273	0,042332
24,42	0,043101
24,567	0,043992
24,799	0,044783
25,005	0,04535
25,289	0,046011
25,521	0,046776
25,662	0,047114
25,844	0,047783
25,965	0,048076
26,083	0,048333
26,188	0,048591
26,28	0,049196
26,453	0,049902
26,627	0,050143
26,8	0,050494
26,953	0,051225
27,078	0,051531
27,187	0,051678
27,278	0,05191
27,358	0,052045
27,421	0,052141
27,474	0,052184
27,6	0,052867
27,754	0,054241
27,901	0,059341
28,133	0,061952
28,359	0,063588
28,567	0,064569
28,723	0,065824
28,878	0,067172
29,033	0,067888
29,223	0,069636
29,431	0,070842
29,621	0,072426
29,81	0,073676
30	0,075134
30,167	0,077292
30,333	0,079126
30,5	0,08071
30,667	0,082123
30,833	0,08479
31	0,087327
31,133	0,088754
31,267	0,090654
31,383	0,092263
31,5	0,094572
31,641	0,097308
31,761	0,099105
31,88	0,1009
32	0,10278
32,085	0,10698
32,223	0,11089
32,362	0,12286
32,5	0,14344
32,646	0,16078
32,764	0,1767
32,843	0,19089
32,895	0,20257
32,948	0,21346
33	0,22734
33,065	0,2451
33,126	0,26799
33,167	0,28494
33,205	0,29742
33,24	0,30836
33,27	0,319
33,3	0,32511
33,327	0,33253
33,353	0,33896
33,378	0,34761
33,398	0,35286
33,419	0,35701
33,439	0,35923
33,459	0,36177
33,48	0,36962
33,5	0
