Pilot Height;SENS1_FZ
0;0,017429
0,29012;0,021794
0,65554;0,024267
1,021;0,026254
1,3864;0,027704
1,6687;0,028842
1,951;0,029732
2,2333;0,030335
2,5988;0,030973
2,9642;0,031759
3,3296;0,032509
3,695;0,033161
3,9522;0,033513
4,2095;0,034143
4,4667;0,034445
4,8321;0,034978
5,1975;0,0356
5,5629;0,035986
5,9284;0,036494
6,1856;0,036886
6,4428;0,037254
6,7;0,037575
7,0654;0,03812
7,4308;0,038309
7,7963;0,038869
8,1561;0,039327
8,4152;0,039533
8,6743;0,039862
8,9333;0,04028
9,2988;0,040674
9,6642;0,041149
10,009;0,041531
10,375;0,042076
10,639;0,042382
10,903;0,042717
11,167;0,043033
11,408;0,043275
11,619;0,043762
11,814;0,04435
12,179;0,044463
12,545;0,045023
12,821;0,045485
13,014;0,045807
13,207;0,046088
13,4;0,046304
13,649;0,046869
13,88;0,047135
14,085;0,047517
14,297;0,047886
14,52;0,04833
14,655;0,048417
14,789;0,048595
14,885;0,048561
14,975;0,048887
15,15;0,049155
15,392;0,049583
15,633;0,049956
15,873;0,050225
16,091;0,050467
16,304;0,050915
16,505;0,051318
16,791;0,051752
16,973;0,052065
17,165;0,052399
17,3;0,05251
17,463;0,052864
17,571;0,053127
17,719;0,053336
17,867;0,053337
18,052;0,053641
18,29;0,054122
18,556;0,054438
18,778;0,054989
19,007;0,05642
19,235;0,057206
19,516;0,057717
19,71;0,059106
19,905;0,059943
20,1;0,060576
20,458;0,062132
20,802;0,063751
21,152;0,064248
21,502;0,065104
21,75;0,066122
21,944;0,066511
22,139;0,067113
22,333;0,067897
22,672;0,068694
23,015;0,069979
23,351;0,071059
23,647;0,072401
23,906;0,073287
24,126;0,074416
24,273;0,074406
24,42;0,07535
24,567;0,076377
24,799;0,077821
25,005;0,078887
25,289;0,079698
25,521;0,080288
25,662;0,080678
25,844;0,081255
25,965;0,081636
26,083;0,082028
26,188;0,082003
26,28;0,082923
26,453;0,083201
26,627;0,083599
26,8;0,083911
26,953;0,084391
27,078;0,084794
27,187;0,08514
27,278;0,085408
27,358;0,085474
27,421;0,08579
27,474;0,085851
27,6;0,086377
27,754;0,085975
27,901;0,085195
28,133;0,082799
28,359;0,081654
28,567;0,082473
28,723;0,082869
28,878;0,083035
29,033;0,08409
29,223;0,084985
29,431;0,086075
29,621;0,087035
29,81;0,088172
30;0,089932
30,167;0,091113
30,333;0,092039
30,5;0,093545
30,667;0,095
30,833;0,096153
31;0,096846
31,133;0,097675
31,267;0,098327
31,383;0,099018
31,5;0,09956
31,641;0,10012
31,761;0,10137
31,88;0,10284
32;0,10485
32,085;0,10589
32,223;0,10713
32,362;0,11794
32,5;0,13789
32,646;0,15587
32,764;0,17046
32,843;0,18522
32,895;0,19698
32,948;0,20646
33;0,21891
33,065;0,2369
33,126;0,26349
33,167;0,28202
33,205;0,29702
33,24;0,30904
33,27;0,32074
33,3;0,32776
33,327;0,33628
33,353;0,34442
33,378;0,35259
33,398;0,35809
33,419;0,36355
33,439;0,36661
33,459;0,37195
33,48;0,37823
33,5;0
