Pilot Height	SENS4_FZ
0	0,007371
0,28752	0,009142
0,65294	0,010307
1,0184	0,01124
1,3838	0,011824
1,6603	0,012244
1,9368	0,012483
2,2133	0,012636
2,5788	0,012959
2,9442	0,013299
3,3096	0,013597
3,675	0,013845
3,9256	0,014041
4,1761	0,014239
4,4267	0,014438
4,7921	0,014686
5,1575	0,014761
5,5229	0,014947
5,8884	0,015244
6,1389	0,01552
6,3895	0,015733
6,64	0,015936
7,0054	0,016161
7,3708	0,016296
7,7363	0,016352
8,1017	0,016597
8,3522	0,016733
8,6028	0,016807
8,8533	0,016933
9,2188	0,016958
9,5311	0,017117
9,7813	0,016979
10,01	0,01712
10,362	0,01743
10,714	0,017614
11,067	0,017634
11,362	0,017727
11,677	0,018079
11,956	0,018209
12,247	0,018366
12,592	0,018566
12,821	0,018658
13,051	0,018809
13,28	0,018931
13,55	0,018842
13,788	0,018852
14,031	0,019009
14,325	0,019413
14,58	0,019476
14,882	0,01964
15,086	0,01975
15,29	0,019844
15,493	0,01979
15,837	0,019998
16,169	0,020135
16,38	0,020139
16,645	0,02028
16,934	0,020355
17,166	0,020468
17,346	0,020529
17,466	0,020701
17,586	0,020849
17,707	0,021055
17,92	0,020972
18,128	0,021108
18,331	0,021199
18,505	0,021315
18,666	0,021423
18,812	0,021586
18,945	0,021484
19,061	0,023925
19,163	0,024322
19,269	0,024312
19,356	0,024602
19,499	0,025454
19,709	0,028097
19,92	0,028257
20,135	0,028982
20,386	0,029276
20,619	0,030376
20,819	0,031402
21,008	0,031779
21,33	0,032038
21,598	0,032824
21,866	0,033084
22,133	0,033897
22,448	0,034447
22,726	0,035303
23,007	0,035709
23,326	0,036652
23,645	0,037355
23,879	0,037847
24,035	0,038659
24,191	0,039211
24,347	0,040011
24,629	0,040461
24,875	0,04104
25,147	0,041596
25,354	0,042493
25,519	0,043047
25,736	0,043541
25,927	0,043817
26,084	0,044329
26,243	0,044791
26,401	0,045112
26,56	0,045235
26,737	0,045854
26,85	0,046428
26,999	0,046879
27,231	0,047297
27,443	0,047896
27,629	0,04855
27,786	0,048534
27,898	0,048702
27,99	0,049083
28,057	0,051749
28,216	0,055817
28,363	0,05744
28,5	0,058598
28,637	0,059495
28,773	0,06088
28,97	0,061791
29,175	0,062951
29,38	0,064079
29,507	0,065299
29,67	0,066274
29,78	0,066947
29,89	0,067592
30	0,068675
30,095	0,06955
30,178	0,070295
30,249	0,070556
30,311	0,071587
30,406	0,072193
30,5	0,073557
30,662	0,075292
30,824	0,076659
30,987	0,077639
31	0,079519
31,167	0,081973
31,333	0,084502
31,5	0,087949
31,656	0,090908
31,771	0,093745
31,885	0,095742
31,943	0,096901
32	0,097845
32,087	0,10743
32,191	0,12128
32,278	0,13644
32,352	0,14661
32,426	0,15809
32,5	0,16959
32,583	0,18445
32,644	0,19495
32,677	0,20125
32,704	0,2092
32,734	0,22224
32,778	0,2353
32,82	0,24952
32,859	0,26474
32,895	0,27896
32,926	0,28717
32,951	0,29663
32,975	0,30561
33	0,31417
33,024	0,31835
33,047	0,32654
33,067	0,33424
33,089	0,33879
33,109	0,34225
33,129	0,34628
33,15	0,34905
33,167	0,35419
33,183	0,35554
33,2	0,35554
