Pilot Height	SENS3_FZ
0	0,01228
0,28752	0,015188
0,65294	0,017112
1,0184	0,018624
1,3838	0,019603
1,6603	0,02032
1,9368	0,02074
2,2133	0,021032
2,5788	0,021521
2,9442	0,022059
3,3096	0,022583
3,675	0,023004
3,9256	0,023352
4,1761	0,023605
4,4267	0,023951
4,7921	0,024356
5,1575	0,024865
5,5229	0,025211
5,8884	0,02562
6,1389	0,025722
6,3895	0,025902
6,64	0,026165
7,0054	0,026538
7,3708	0,026962
7,7363	0,027152
8,1017	0,027483
8,3522	0,027691
8,6028	0,027959
8,8533	0,02804
9,2188	0,028248
9,5311	0,028597
9,7813	0,028818
10,01	0,028894
10,362	0,028919
10,714	0,028883
11,067	0,029701
11,362	0,030167
11,677	0,030196
11,956	0,030341
12,247	0,030467
12,592	0,030732
12,821	0,030999
13,051	0,031095
13,28	0,031284
13,55	0,031768
13,788	0,032092
14,031	0,032188
14,325	0,032418
14,58	0,032738
14,882	0,032918
15,086	0,032993
15,29	0,033048
15,493	0,033446
15,837	0,034067
16,169	0,034109
16,38	0,034432
16,645	0,034773
16,934	0,034743
17,166	0,034931
17,346	0,035054
17,466	0,035251
17,586	0,035455
17,707	0,035301
17,92	0,035549
18,128	0,035606
18,331	0,035976
18,505	0,036664
18,666	0,036754
18,812	0,036752
18,945	0,038379
19,061	0,039971
19,163	0,040137
19,269	0,039317
19,356	0,040406
19,499	0,042119
19,709	0,044423
19,92	0,045729
20,135	0,045849
20,386	0,046863
20,619	0,048425
20,819	0,048987
21,008	0,049851
21,33	0,050287
21,598	0,051414
21,866	0,052328
22,133	0,052695
22,448	0,05401
22,726	0,055077
23,007	0,055983
23,326	0,057221
23,645	0,058103
23,879	0,058934
24,035	0,059245
24,191	0,060417
24,347	0,061571
24,629	0,062724
24,875	0,063641
25,147	0,064239
25,354	0,065093
25,519	0,065606
25,736	0,066166
25,927	0,066684
26,084	0,067696
26,243	0,068039
26,401	0,068289
26,56	0,068884
26,737	0,069077
26,85	0,069559
26,999	0,070295
27,231	0,070973
27,443	0,071312
27,629	0,072697
27,786	0,073479
27,898	0,073863
27,99	0,07429
28,057	0,074602
28,216	0,076692
28,363	0,078528
28,5	0,079639
28,637	0,080173
28,773	0,080825
28,97	0,08179
29,175	0,082215
29,38	0,083934
29,507	0,085029
29,67	0,086081
29,78	0,086653
29,89	0,087447
30	0,088373
30,095	0,088996
30,178	0,089503
30,249	0,090395
30,311	0,091406
30,406	0,091975
30,5	0,093215
30,662	0,09479
30,824	0,096605
30,987	0,097704
31	0,098642
31,167	0,10056
31,333	0,10279
31,5	0,10591
31,656	0,10833
31,771	0,1103
31,885	0,11224
31,943	0,11333
32	0,11429
32,087	0,1248
32,191	0,14416
32,278	0,16107
32,352	0,17264
32,426	0,186
32,5	0,19945
32,583	0,21741
32,644	0,23095
32,677	0,23736
32,704	0,24808
32,734	0,26381
32,778	0,28046
32,82	0,29914
32,859	0,31876
32,895	0,33789
32,926	0,34835
32,951	0,36152
32,975	0,37539
33	0,38565
33,024	0,38868
33,047	0,39754
33,067	0,40565
33,089	0,41269
33,109	0,41641
33,129	0,42243
33,15	0,42628
33,167	0,43311
33,183	0,43491
33,2	0,43491
