Time	SENS3_FZ
0	0,01228
0,0009584	0,015188
0,0021765	0,017112
0,0033946	0,018624
0,0046126	0,019603
0,0055343	0,02032
0,0064561	0,02074
0,0073778	0,021032
0,0085959	0,021521
0,0098139	0,022059
0,011032	0,022583
0,01225	0,023004
0,013085	0,023352
0,01392	0,023605
0,014756	0,023951
0,015974	0,024356
0,017192	0,024865
0,01841	0,025211
0,019628	0,02562
0,020463	0,025722
0,021298	0,025902
0,022133	0,026165
0,023351	0,026538
0,024569	0,026962
0,025788	0,027152
0,027006	0,027483
0,027841	0,027691
0,028676	0,027959
0,029511	0,02804
0,030729	0,028248
0,03177	0,028597
0,032604	0,028818
0,033365	0,028894
0,03454	0,028919
0,035714	0,028883
0,036889	0,029701
0,037873	0,030167
0,038922	0,030196
0,039852	0,030341
0,040825	0,030467
0,041972	0,030732
0,042737	0,030999
0,043502	0,031095
0,044267	0,031284
0,045165	0,031768
0,04596	0,032092
0,046771	0,032188
0,047751	0,032418
0,0486	0,032738
0,049608	0,032918
0,050287	0,032993
0,050966	0,033048
0,051644	0,033446
0,052791	0,034067
0,053896	0,034109
0,054599	0,034432
0,055483	0,034773
0,056448	0,034743
0,057219	0,034931
0,05782	0,035054
0,058221	0,035251
0,058621	0,035455
0,059022	0,035301
0,059732	0,035549
0,060428	0,035606
0,061103	0,035976
0,061683	0,036664
0,062221	0,036754
0,062706	0,036752
0,063148	0,038379
0,063538	0,039971
0,063876	0,040137
0,06423	0,039317
0,064519	0,040406
0,064995	0,042119
0,065698	0,044423
0,0664	0,045729
0,067117	0,045849
0,067952	0,046863
0,068731	0,048425
0,069398	0,048987
0,070028	0,049851
0,071101	0,050287
0,071994	0,051414
0,072886	0,052328
0,073778	0,052695
0,074826	0,05401
0,075752	0,055077
0,076689	0,055983
0,077753	0,057221
0,078816	0,058103
0,079596	0,058934
0,080116	0,059245
0,080636	0,060417
0,081156	0,061571
0,082097	0,062724
0,082917	0,063641
0,083824	0,064239
0,084513	0,065093
0,085063	0,065606
0,085786	0,066166
0,086423	0,066684
0,086946	0,067696
0,087475	0,068039
0,088004	0,068289
0,088533	0,068884
0,089124	0,069077
0,089501	0,069559
0,089997	0,070295
0,09077	0,070973
0,091475	0,071312
0,092095	0,072697
0,09262	0,073479
0,092994	0,073863
0,093299	0,07429
0,093522	0,074602
0,094053	0,076692
0,094543	0,078528
0,094999	0,079639
0,095455	0,080173
0,095911	0,080825
0,096567	0,08179
0,09725	0,082215
0,097933	0,083934
0,098356	0,085029
0,098901	0,086081
0,099268	0,086653
0,099634	0,087447
0,1	0,088373
0,10032	0,088996
0,10059	0,089503
0,10083	0,090395
0,10104	0,091406
0,10135	0,091975
0,10167	0,093215
0,10221	0,09479
0,10275	0,096605
0,10329	0,097704
0,10333	0,098642
0,10389	0,10056
0,10444	0,10279
0,105	0,10591
0,10552	0,10833
0,1059	0,1103
0,10628	0,11224
0,10648	0,11333
0,10667	0,11429
0,10696	0,1248
0,1073	0,14416
0,10759	0,16107
0,10784	0,17264
0,10809	0,186
0,10833	0,19945
0,10861	0,21741
0,10881	0,23095
0,10892	0,23736
0,10901	0,24808
0,10911	0,26381
0,10926	0,28046
0,1094	0,29914
0,10953	0,31876
0,10965	0,33789
0,10975	0,34835
0,10984	0,36152
0,10992	0,37539
0,11	0,38565
0,11008	0,38868
0,11016	0,39754
0,11022	0,40565
0,1103	0,41269
0,11036	0,41641
0,11043	0,42243
0,1105	0,42628
0,11056	0,43311
0,11061	0,43491
0,11067	0,43491
