Time	SENS1_FZ
0	0,021312
0,0009584	0,026452
0,0021765	0,029773
0,0033946	0,032483
0,0046126	0,034186
0,0055343	0,035467
0,0064561	0,036141
0,0073778	0,036793
0,0085959	0,037606
0,0098139	0,038617
0,011032	0,039538
0,01225	0,040303
0,013085	0,040897
0,01392	0,041421
0,014756	0,042048
0,015974	0,042793
0,017192	0,043373
0,01841	0,043969
0,019628	0,044786
0,020463	0,045226
0,021298	0,045648
0,022133	0,046188
0,023351	0,046903
0,024569	0,047665
0,025788	0,047703
0,027006	0,048426
0,027841	0,048708
0,028676	0,049024
0,029511	0,049015
0,030729	0,049331
0,03177	0,04993
0,032604	0,050519
0,033365	0,05082
0,03454	0,051477
0,035714	0,05146
0,036889	0,052418
0,037873	0,052925
0,038922	0,053654
0,039852	0,053883
0,040825	0,054454
0,041972	0,054904
0,042737	0,055605
0,043502	0,055905
0,044267	0,05636
0,045165	0,05681
0,04596	0,057115
0,046771	0,057409
0,047751	0,058302
0,0486	0,058706
0,049608	0,059216
0,050287	0,059546
0,050966	0,059753
0,051644	0,059877
0,052791	0,060651
0,053896	0,061071
0,054599	0,061713
0,055483	0,062351
0,056448	0,062539
0,057219	0,063107
0,05782	0,063189
0,058221	0,063612
0,058621	0,06411
0,059022	0,063998
0,059732	0,064191
0,060428	0,064362
0,061103	0,064881
0,061683	0,066019
0,062221	0,066384
0,062706	0,066604
0,063148	0,066725
0,063538	0,068917
0,063876	0,069162
0,06423	0,068136
0,064519	0,069727
0,064995	0,070289
0,065698	0,072524
0,0664	0,073153
0,067117	0,073793
0,067952	0,074526
0,068731	0,0761
0,069398	0,076999
0,070028	0,077539
0,071101	0,077815
0,071994	0,079326
0,072886	0,080304
0,073778	0,081117
0,074826	0,083159
0,075752	0,084417
0,076689	0,085096
0,077753	0,086953
0,078816	0,087958
0,079596	0,088983
0,080116	0,089884
0,080636	0,091365
0,081156	0,093186
0,082097	0,094043
0,082917	0,0955
0,083824	0,096323
0,084513	0,097589
0,085063	0,09838
0,085786	0,099015
0,086423	0,099377
0,086946	0,10047
0,087475	0,10086
0,088004	0,10093
0,088533	0,10129
0,089124	0,10183
0,089501	0,10293
0,089997	0,10378
0,09077	0,10429
0,091475	0,105
0,092095	0,10642
0,09262	0,10676
0,092994	0,10614
0,093299	0,10589
0,093522	0,1051
0,094053	0,10299
0,094543	0,10291
0,094999	0,10303
0,095455	0,10288
0,095911	0,10265
0,096567	0,10349
0,09725	0,10362
0,097933	0,10639
0,098356	0,10699
0,098901	0,1079
0,099268	0,10879
0,099634	0,10952
0,1	0,11076
0,10032	0,11135
0,10059	0,11158
0,10083	0,11239
0,10104	0,11391
0,10135	0,11478
0,10167	0,11519
0,10221	0,11656
0,10275	0,11821
0,10329	0,11916
0,10333	0,11897
0,10389	0,12048
0,10444	0,12213
0,105	0,12569
0,10552	0,12776
0,1059	0,12777
0,10628	0,12958
0,10648	0,13015
0,10667	0,13136
0,10696	0,1447
0,1073	0,16791
0,10759	0,18836
0,10784	0,20266
0,10809	0,21885
0,10833	0,23377
0,10861	0,25624
0,10881	0,27215
0,10892	0,27967
0,10901	0,2923
0,10911	0,31122
0,10926	0,33077
0,1094	0,35402
0,10953	0,37805
0,10965	0,4022
0,10975	0,41446
0,10984	0,43078
0,10992	0,44886
0,11	0,46154
0,11008	0,46398
0,11016	0,47807
0,11022	0,48697
0,1103	0,49461
0,11036	0,49984
0,11043	0,50674
0,1105	0,51069
0,11056	0,51936
0,11061	0,52082
0,11067	0,52082
